Starting training from step 0 | target 150000 steps
step    136 | loss 52.9135 | lr 2.03e-05 | tokens    8,912,896 | tok/s 15,185
step     62 | loss 166.3056 | lr 9.15e-06 | tokens    4,063,232 | tok/s 15,928
step    137 | loss 53.2297 | lr 2.04e-05 | tokens    8,978,432 | tok/s 15,161
step     63 | loss 160.4267 | lr 9.30e-06 | tokens    4,128,768 | tok/s 15,852
step    138 | loss 52.7758 | lr 2.06e-05 | tokens    9,043,968 | tok/s 15,149
step     64 | loss 153.9452 | lr 9.45e-06 | tokens    4,194,304 | tok/s 15,897
step    139 | loss 52.3415 | lr 2.07e-05 | tokens    9,109,504 | tok/s 15,084
step     65 | loss 149.1538 | lr 9.60e-06 | tokens    4,259,840 | tok/s 15,858
step    140 | loss 51.8869 | lr 2.08e-05 | tokens    9,175,040 | tok/s 15,074
step     66 | loss 143.4324 | lr 9.75e-06 | tokens    4,325,376 | tok/s 15,870
step    141 | loss 51.3613 | lr 2.10e-05 | tokens    9,240,576 | tok/s 15,106
step     67 | loss 139.0843 | lr 9.90e-06 | tokens    4,390,912 | tok/s 15,874
step    142 | loss 50.9632 | lr 2.11e-05 | tokens    9,306,112 | tok/s 15,132
step     68 | loss 134.2581 | lr 1.01e-05 | tokens    4,456,448 | tok/s 15,797
step    143 | loss 50.3338 | lr 2.13e-05 | tokens    9,371,648 | tok/s 15,141
step     69 | loss 130.0549 | lr 1.02e-05 | tokens    4,521,984 | tok/s 15,851
step    144 | loss 50.9148 | lr 2.14e-05 | tokens    9,437,184 | tok/s 15,077
step     70 | loss 125.9662 | lr 1.03e-05 | tokens    4,587,520 | tok/s 15,821
step    145 | loss 50.8391 | lr 2.16e-05 | tokens    9,502,720 | tok/s 15,145
step     71 | loss 123.0781 | lr 1.05e-05 | tokens    4,653,056 | tok/s 15,940
step     72 | loss 118.8201 | lr 1.06e-05 | tokens    4,718,592 | tok/s 15,849
step    146 | loss 50.0871 | lr 2.17e-05 | tokens    9,568,256 | tok/s 15,137
step     73 | loss 115.7308 | lr 1.08e-05 | tokens    4,784,128 | tok/s 15,796
step    147 | loss 49.5452 | lr 2.19e-05 | tokens    9,633,792 | tok/s 15,079
step     74 | loss 112.6323 | lr 1.09e-05 | tokens    4,849,664 | tok/s 15,830
step    148 | loss 48.9995 | lr 2.20e-05 | tokens    9,699,328 | tok/s 15,070
